[14:26:29] [Clear] 로그 파일 및 내역이 초기화되었습니다.
[14:26:58] [System] 기존 데이터 0개 로드됨
[14:26:58] [System] 세션 복구 완료 (23초 경과 적용)
[14:27:19] [입고] 랜덤 상품 300개 완료
[14:27:31] [설정] 배속 x360 적용
[22:27:31] [만료 발생] [G_0027] 생수
[22:27:31] [만료 발생] [A_0035] 김밥
[22:27:31] [만료 발생] [E_0032] 컵라면
[22:27:31] [만료 발생] [E_0033] 컵라면
[23:27:31] [만료 발생] [B_0009] 샌드위치
[23:27:31] [만료 발생] [J_0023] 커피
[23:27:31] [만료 발생] [G_0023] 생수
[23:27:31] [만료 발생] [F_0038] 콜라
[01:33:31] [만료 발생] [F_0005] 콜라
[02:27:31] [만료 발생] [B_0022] 샌드위치
[03:27:31] [만료 발생] [J_0001] 커피
[03:27:31] [만료 발생] [J_0015] 커피
[04:27:31] [만료 발생] [C_0002] 우유
[04:27:31] [만료 발생] [I_0023] 아이스크림
[04:27:31] [만료 발생] [D_0018] 도시락
[04:27:31] [만료 발생] [A_0034] 김밥
[05:27:31] [만료 발생] [F_0004] 콜라
[05:27:31] [만료 발생] [B_0002] 샌드위치
[05:27:31] [만료 발생] [A_0029] 김밥
[06:33:31] [만료 발생] [E_0001] 컵라면
[06:33:31] [만료 발생] [D_0021] 도시락
[06:33:31] [만료 발생] [J_0028] 커피
[06:33:31] [만료 발생] [A_0032] 김밥
[07:27:31] [만료 발생] [D_0004] 도시락
[07:27:31] [만료 발생] [E_0027] 컵라면
[08:27:31] [만료 발생] [G_0006] 생수
[08:27:31] [만료 발생] [G_0008] 생수
[09:27:31] [만료 발생] [H_0016] 과자
[09:27:31] [만료 발생] [D_0023] 도시락
[09:27:31] [만료 발생] [C_0024] 우유
[10:27:31] [만료 발생] [I_0019] 아이스크림
[10:27:31] [만료 발생] [F_0036] 콜라
[11:27:31] [만료 발생] [E_0012] 컵라면
[11:27:31] [만료 발생] [C_0013] 우유
[11:27:31] [만료 발생] [G_0017] 생수
[12:27:31] [만료 발생] [C_0011] 우유
[12:27:31] [만료 발생] [D_0027] 도시락
[13:27:31] [만료 발생] [A_0001] 김밥
[13:27:31] [만료 발생] [I_0008] 아이스크림
[13:27:31] [만료 발생] [C_0008] 우유
[13:27:31] [만료 발생] [C_0009] 우유
[13:27:31] [만료 발생] [I_0021] 아이스크림
[13:27:31] [만료 발생] [E_0017] 컵라면
[13:27:31] [만료 발생] [H_0019] 과자
[14:27:31] [만료 발생] [A_0020] 김밥
[14:27:31] [만료 발생] [G_0025] 생수
[15:27:31] [만료 발생] [I_0001] 아이스크림
[15:27:31] [만료 발생] [H_0004] 과자
[15:27:31] [만료 발생] [H_0010] 과자
[15:27:31] [만료 발생] [C_0016] 우유
[15:27:31] [만료 발생] [E_0029] 컵라면
[15:27:31] [만료 발생] [C_0025] 우유
[16:27:31] [만료 발생] [C_0010] 우유
[16:27:31] [만료 발생] [I_0029] 아이스크림
[17:27:31] [만료 발생] [I_0007] 아이스크림
[17:27:31] [만료 발생] [F_0032] 콜라
[17:27:31] [만료 발생] [E_0026] 컵라면
[17:27:31] [만료 발생] [J_0029] 커피
[14:36:27] [System] 기존 데이터 300개 로드됨
[20:03:31] [System] 세션 복구 완료 (9초 경과 적용)
[20:03:31] [만료 발생] [E_0025] 컵라면
[20:03:31] [만료 발생] [J_0026] 커피
[20:03:31] [만료 발생] [A_0030] 김밥
[20:03:31] [만료 발생] [F_0027] 콜라
[20:03:31] [만료 발생] [A_0022] 김밥
[20:03:31] [만료 발생] [E_0011] 컵라면
[20:27:31] [만료 발생] [J_0022] 커피
[20:27:31] [만료 발생] [H_0003] 과자
[20:27:31] [만료 발생] [B_0001] 샌드위치
[21:27:31] [만료 발생] [F_0037] 콜라
[21:27:31] [만료 발생] [I_0027] 아이스크림
[21:27:31] [만료 발생] [B_0017] 샌드위치
[21:27:31] [만료 발생] [C_0005] 우유
[21:27:31] [만료 발생] [D_0002] 도시락
[22:27:31] [만료 발생] [G_0026] 생수
[22:27:31] [만료 발생] [F_0033] 콜라
[22:27:31] [만료 발생] [D_0006] 도시락
[22:27:31] [만료 발생] [H_0007] 과자
[22:27:31] [만료 발생] [G_0002] 생수
[22:27:31] [만료 발생] [A_0003] 김밥
[14:43:14] [System] 기존 데이터 300개 로드됨
[12:45:31] [System] 세션 복구 완료 (375초 경과 적용)
[12:45:31] [만료 발생] [F_0001] 콜라
[12:45:31] [만료 발생] [F_0002] 콜라
[12:45:31] [만료 발생] [A_0002] 김밥
[12:45:31] [만료 발생] [J_0002] 커피
[12:45:31] [만료 발생] [E_0002] 컵라면
[12:45:31] [만료 발생] [D_0001] 도시락
[12:45:31] [만료 발생] [E_0003] 컵라면
[12:45:31] [만료 발생] [I_0004] 아이스크림
[12:45:31] [만료 발생] [H_0001] 과자
[12:45:31] [만료 발생] [A_0005] 김밥
[12:45:31] [만료 발생] [I_0006] 아이스크림
[12:45:31] [만료 발생] [J_0005] 커피
[12:45:31] [만료 발생] [J_0006] 커피
[12:45:31] [만료 발생] [A_0006] 김밥
[12:45:31] [만료 발생] [A_0007] 김밥
[12:45:31] [만료 발생] [A_0008] 김밥
[12:45:31] [만료 발생] [J_0007] 커피
[12:45:31] [만료 발생] [D_0003] 도시락
[12:45:31] [만료 발생] [J_0008] 커피
[12:45:31] [만료 발생] [A_0009] 김밥
[12:45:31] [만료 발생] [C_0004] 우유
[12:45:31] [만료 발생] [G_0004] 생수
[12:45:31] [만료 발생] [E_0006] 컵라면
[12:45:31] [만료 발생] [I_0009] 아이스크림
[12:45:31] [만료 발생] [I_0010] 아이스크림
[12:45:31] [만료 발생] [H_0005] 과자
[12:45:31] [만료 발생] [I_0012] 아이스크림
[12:45:31] [만료 발생] [E_0007] 컵라면
[12:45:31] [만료 발생] [F_0006] 콜라
[12:45:31] [만료 발생] [F_0007] 콜라
[12:45:31] [만료 발생] [J_0010] 커피
[12:45:31] [만료 발생] [I_0014] 아이스크림
[12:45:31] [만료 발생] [J_0011] 커피
[12:45:31] [만료 발생] [B_0003] 샌드위치
[12:45:31] [만료 발생] [F_0008] 콜라
[12:45:31] [만료 발생] [I_0016] 아이스크림
[12:45:31] [만료 발생] [E_0009] 컵라면
[12:45:31] [만료 발생] [G_0007] 생수
[12:45:31] [만료 발생] [A_0013] 김밥
[12:45:31] [만료 발생] [I_0017] 아이스크림
[12:45:31] [만료 발생] [F_0011] 콜라
[12:45:31] [만료 발생] [C_0012] 우유
[12:45:31] [만료 발생] [A_0014] 김밥
[12:45:31] [만료 발생] [A_0015] 김밥
[12:45:31] [만료 발생] [E_0010] 컵라면
[12:45:31] [만료 발생] [A_0016] 김밥
[12:45:31] [만료 발생] [B_0005] 샌드위치
[12:45:31] [만료 발생] [D_0007] 도시락
[12:45:31] [만료 발생] [A_0017] 김밥
[12:45:31] [만료 발생] [A_0018] 김밥
[12:45:31] [만료 발생] [G_0010] 생수
[12:45:31] [만료 발생] [H_0014] 과자
[12:45:31] [만료 발생] [B_0006] 샌드위치
[12:45:31] [만료 발생] [B_0007] 샌드위치
[12:45:31] [만료 발생] [G_0011] 생수
[12:45:31] [만료 발생] [E_0013] 컵라면
[12:45:31] [만료 발생] [I_0020] 아이스크림
[12:45:31] [만료 발생] [F_0014] 콜라
[12:45:31] [만료 발생] [J_0014] 커피
[12:45:31] [만료 발생] [B_0008] 샌드위치
[12:45:31] [만료 발생] [J_0016] 커피
[12:45:31] [만료 발생] [J_0017] 커피
[12:45:31] [만료 발생] [A_0019] 김밥
[12:45:31] [만료 발생] [J_0018] 커피
[12:45:31] [만료 발생] [B_0011] 샌드위치
[12:45:31] [만료 발생] [B_0012] 샌드위치
[12:45:31] [만료 발생] [F_0016] 콜라
[12:45:31] [만료 발생] [F_0018] 콜라
[12:45:31] [만료 발생] [E_0015] 컵라면
[12:45:31] [만료 발생] [D_0009] 도시락
[12:45:31] [만료 발생] [D_0010] 도시락
[12:45:31] [만료 발생] [J_0019] 커피
[12:45:31] [만료 발생] [J_0020] 커피
[12:45:31] [만료 발생] [H_0017] 과자
[12:45:31] [만료 발생] [C_0015] 우유
[12:45:31] [만료 발생] [F_0020] 콜라
[12:45:31] [만료 발생] [G_0014] 생수
[12:45:31] [만료 발생] [F_0022] 콜라
[12:45:31] [만료 발생] [D_0012] 도시락
[12:45:31] [만료 발생] [G_0015] 생수
[12:45:31] [만료 발생] [D_0014] 도시락
[12:45:31] [만료 발생] [E_0019] 컵라면
[12:45:31] [만료 발생] [F_0025] 콜라
[12:45:31] [만료 발생] [C_0018] 우유
[12:45:31] [만료 발생] [G_0016] 생수
[12:45:31] [만료 발생] [F_0026] 콜라
[12:45:31] [만료 발생] [I_0024] 아이스크림
[12:45:31] [만료 발생] [E_0020] 컵라면
[12:45:31] [만료 발생] [A_0023] 김밥
[12:45:31] [만료 발생] [E_0021] 컵라면
[12:45:31] [만료 발생] [A_0024] 김밥
[12:45:31] [만료 발생] [B_0014] 샌드위치
[12:45:31] [만료 발생] [B_0015] 샌드위치
[12:45:31] [만료 발생] [C_0019] 우유
[12:45:31] [만료 발생] [A_0027] 김밥
[12:45:31] [만료 발생] [B_0016] 샌드위치
[12:45:31] [만료 발생] [H_0018] 과자
[12:45:31] [만료 발생] [J_0024] 커피
[12:45:31] [만료 발생] [G_0018] 생수
[12:45:31] [만료 발생] [D_0016] 도시락
[12:45:31] [만료 발생] [J_0025] 커피
[12:45:31] [만료 발생] [F_0028] 콜라
[12:45:31] [만료 발생] [C_0021] 우유
[12:45:31] [만료 발생] [F_0030] 콜라
[12:45:31] [만료 발생] [G_0020] 생수
[12:45:31] [만료 발생] [H_0021] 과자
[12:45:31] [만료 발생] [G_0021] 생수
[12:45:31] [만료 발생] [G_0022] 생수
[12:45:31] [만료 발생] [D_0020] 도시락
[12:45:31] [만료 발생] [I_0026] 아이스크림
[12:45:31] [만료 발생] [A_0031] 김밥
[12:45:31] [만료 발생] [H_0022] 과자
[12:45:31] [만료 발생] [J_0027] 커피
[12:45:31] [만료 발생] [D_0022] 도시락
[12:45:31] [만료 발생] [C_0023] 우유
[12:45:31] [만료 발생] [G_0024] 생수
[12:45:31] [만료 발생] [J_0030] 커피
[12:45:31] [만료 발생] [H_0024] 과자
[12:45:31] [만료 발생] [H_0025] 과자
[12:45:31] [만료 발생] [D_0024] 도시락
[12:45:31] [만료 발생] [H_0026] 과자
[12:45:31] [만료 발생] [I_0028] 아이스크림
[12:45:31] [만료 발생] [B_0020] 샌드위치
[12:45:31] [만료 발생] [A_0033] 김밥
[12:45:31] [만료 발생] [F_0039] 콜라
[12:45:31] [만료 발생] [C_0026] 우유
[12:45:31] [만료 발생] [E_0031] 컵라면
[12:45:31] [만료 발생] [F_0040] 콜라
[12:45:31] [만료 발생] [D_0026] 도시락
[12:45:31] [만료 발생] [B_0023] 샌드위치
[12:45:31] [만료 발생] [G_0028] 생수
[12:45:31] [만료 발생] [C_0027] 우유
[13:27:31] [만료 발생] [E_0018] 컵라면
[13:27:31] [만료 발생] [J_0031] 커피
[14:27:31] [만료 발생] [A_0012] 김밥
[14:27:31] [만료 발생] [J_0013] 커피
[14:27:31] [만료 발생] [J_0021] 커피
[14:27:31] [만료 발생] [B_0013] 샌드위치
[14:46:59] [System] 기존 데이터 300개 로드됨
[11:15:31] [System] 세션 복구 완료 (206초 경과 적용)
[14:52:12] [System] 기존 데이터 300개 로드됨
[18:33:31] [System] 세션 복구 완료 (12초 경과 적용)
[14:56:54] [System] 기존 데이터 300개 로드됨
[22:45:31] [System] 세션 복구 완료 (263초 경과 적용)
[15:02:02] [System] 기존 데이터 300개 로드됨
[05:33:31] [System] 세션 복구 완료 (164초 흐름, 배속: x360)
[15:06:10] [System] 기존 데이터 300개 로드됨
[06:21:31] [System] 세션 복구 완료 (7초 흐름, 배속: x360)
[15:09:26] [System] 기존 데이터 300개 로드됨
[01:57:31] [System] 세션 복구 완료 (4초 흐름, 배속: x360)
[15:12:54] [System] 기존 데이터 300개 로드됨
[22:45:31] [System] 세션 복구 완료 (4초 흐름, 배속: x360)
[15:15:16] [System] 기존 데이터 300개 로드됨
[12:57:31] [System] 세션 복구 완료 (101초 흐름, 배속: x360)
[15:16:12] [System] 기존 데이터 300개 로드됨
[18:33:31] [System] 세션 복구 완료 (29초 흐름, 배속: x360)
